|FR| DAZN EVENTS 6 HD (ONLY ON LIVE)	00`05alive00`05b560831.m3u8
|FR| DAZN EVENTS 7 HD (ONLY ON LIVE)	00`05alive00`05b560832.m3u8
|FR| DAZN EVENTS 8 HD (ONLY ON LIVE)	00`05alive00`05b560833.m3u8
|FR| DAZN EVENTS 9 HD (ONLY ON LIVE)	00`05alive00`05b560834.m3u8
|FR| DAZN EVENTS 10 HD (ONLY ON LIVE)	00`05alive00`05b560835.m3u8
|FR| (SKWEEK) - LIVE 1 FHD (ONLY ON EVENT)	00`05alive00`05b560836.m3u8
|FR| (SKWEEK) - LIVE 2 FHD (ONLY ON EVENT)	00`05alive00`05b560837.m3u8
|FR| (SKWEEK) - LIVE 3 FHD (ONLY ON EVENT)	00`05alive00`05b560838.m3u8
|FR| (SKWEEK) - LIVE 4 FHD (ONLY ON EVENT)	00`05alive00`05b560839.m3u8
|FR| (SKWEEK) - LIVE 5 FHD (ONLY ON EVENT)	00`05alive00`05b560840.m3u8
|FR| (SKWEEK) - LIVE 6 FHD (ONLY ON EVENT)	00`05alive00`05b560841.m3u8
|FR| (SKWEEK) - LIVE 7 FHD (ONLY ON EVENT)	00`05alive00`05b560842.m3u8
|FR| (SKWEEK) - LIVE 8 FHD (ONLY ON EVENT)	00`05alive00`05b560843.m3u8
|FR| (FANSEAT) - EVENT 1 FHD - (ONLY ON LIVE)	00`05alive00`05b560844.m3u8
|FR| (FANSEAT) - EVENT 2 FHD - (ONLY ON LIVE)	00`05alive00`05b560845.m3u8
|FR| (FANSEAT) - EVENT 3 FHD - (ONLY ON LIVE)	00`05alive00`05b560846.m3u8
|FR| (FANSEAT) - EVENT 4 FHD - (ONLY ON LIVE)	00`05alive00`05b560847.m3u8
|FR| (FANSEAT) - EVENT 5 FHD - (ONLY ON LIVE)	00`05alive00`05b560848.m3u8
|FR| (FANSEAT) - EVENT 6 FHD - (ONLY ON LIVE)	00`05alive00`05b560849.m3u8
|FR| (FANSEAT) - EVENT 7 FHD - (ONLY ON LIVE)	00`05alive00`05b560850.m3u8
|FR| (FANSEAT) - EVENT 8 FHD - (ONLY ON LIVE)	00`05alive00`05b560851.m3u8
|FR| (FANSEAT) - EVENT 9 FHD - (ONLY ON LIVE)	00`05alive00`05b560852.m3u8
|FR| (FANSEAT) - EVENT 10 FHD - (ONLY ON LIVE)	00`05alive00`05b560853.m3u8
