Astro Supersport 4 TV	`1https://en.gdplayertv.to/live-tv/astro-supersport-4/?embed=1
Astro Supersport 5 TV (GEO Blocked)	`1https://en.gdplayertv.to/live-tv/astro-supersport-5/?embed=1
Sukan RTM TV	`1https://en.gdplayertv.to/live-tv/sukan-rtm/?embed=1
Animal Planet TV Malaysia (GEO Blocked)	`1https://en.gdplayertv.to/live-tv/animal-planet-my/?embed=1
DidikTV KPM	`1https://en.gdplayertv.to/live-tv/didiktv-kpm/?embed=1
Discovery Asia TV	`1https://en.gdplayertv.to/live-tv/discovery-asia/?embed=1
DMAX TV Malaysia (GEO Blocked)	`1https://en.gdplayertv.to/live-tv/dmax-my/?embed=1
Astro BOO TV (GEO Blocked)	`1https://en.gdplayertv.to/live-tv/astro-boo/?embed=1
Astro Premier TV (GEO Blocked)	`1https://en.gdplayertv.to/live-tv/astro-premier/?embed=1
AXN TV Malaysia (GEO Blocked)	`1https://en.gdplayertv.to/live-tv/axn-my/?embed=1
Cinemax TV Malaysia (GEO Blocked)	`1https://en.gdplayertv.to/live-tv/cinemax-my/?embed=1
Drama Sangat TV (GEO Blocked)	`1https://en.gdplayertv.to/live-tv/drama-sangat/?embed=1
Dunia Sinema TV	`1https://en.gdplayertv.to/live-tv/dunia-sinema/?embed=1
HBO Family TV Malaysia (GEO Blocked)	`1https://en.gdplayertv.to/live-tv/hbo-family-my/?embed=1
HBO Hits TV Malaysia (GEO Blocked)	`1https://en.gdplayertv.to/live-tv/hbo-hits-my/?embed=1
HBO TV Malaysia (GEO Blocked)	`1https://en.gdplayertv.to/live-tv/hbo-my/?embed=1
HITS Movies TV Malaysia (GEO Blocked)	`1https://en.gdplayertv.to/live-tv/hits-movies-my/?embed=1
Hits TV Malaysia (GEO Blocked)	`1https://en.gdplayertv.to/live-tv/hits-my/?embed=1
tvN Movies Malaysia (GEO Blocked)	`1https://en.gdplayertv.to/live-tv/tvn-movies-my/?embed=1
Warner TV Malaysia (GEO Blocked)	`1https://en.gdplayertv.to/live-tv/warner-tv-my/?embed=1
8TV (GEO Blocked)	`1https://en.gdplayertv.to/live-tv/8tv/?embed=1
Asian Food Channel Malaysia (GEO Blocked)	`1https://en.gdplayertv.to/live-tv/asian-food-channel-my/?embed=1
Astro Aura TV (GEO Blocked)	`1https://en.gdplayertv.to/live-tv/astro-aura/?embed=1
Astro Awani TV	`1https://en.gdplayertv.to/live-tv/astro-awani/?embed=1
Astro Ceria TV (GEO Blocked)	`1https://en.gdplayertv.to/live-tv/astro-ceria/?embed=1
Astro iQiyi TV	`1https://en.gdplayertv.to/live-tv/astro-iqiyi/?embed=1
Astro Oasis TV (GEO Blocked)	`1https://en.gdplayertv.to/live-tv/astro-oasis/?embed=1
Astro Rania TV (GEO Blocked)	`1https://en.gdplayertv.to/live-tv/astro-rania/?embed=1
Awesome TV (GEO Blocked)	`1https://en.gdplayertv.to/live-tv/awesome-tv/?embed=1
Berita RTM TV	`1https://en.gdplayertv.to/live-tv/berita-rtm/?embed=1
Bernama TV	`1https://en.gdplayertv.to/live-tv/bernama-tv/?embed=1
Lifetime TV Malaysia (GEO Blocked)	`1https://en.gdplayertv.to/live-tv/lifetime-tv-my/?embed=1
ONE TV Malaysia (GEO Blocked)	`1https://en.gdplayertv.to/live-tv/one-tv-my/?embed=1
TLC TV Malaysia (GEO Blocked)	`1https://en.gdplayertv.to/live-tv/tlc-my/?embed=1
TV Okey	`1https://en.gdplayertv.to/live-tv/tv-okey/?embed=1
TV1	`1https://en.gdplayertv.to/live-tv/tv1/?embed=1
TV2	`1https://en.gdplayertv.to/live-tv/tv2/?embed=1
TV3	`1https://en.gdplayertv.to/live-tv/tv3/?embed=1
TV6	`1https://en.gdplayertv.to/live-tv/tv6/?embed=1
TV9	`1https://en.gdplayertv.to/live-tv/tv9/?embed=1
tvN Malaysia (GEO Blocked)	`1https://en.gdplayertv.to/live-tv/tvn-my/?embed=1
